Название курса,Ссылка,Описание,Создатели,Направления
Маршрутизация в сети предприятия,https://www.utmn.ru/obrazovanie/iot/electives/1170012/,"Курс позволит получить основные знания и умения, необходимые для понимания функционирования современных маршрутизируемых компьютерных сетей. В курсе рассматриваются основные понятия, достаточные для реализации базовых задач, возникающих в работе в маршрутизируемой сети предприятия.

Содержание курса:
1. Теоретические основы принятия маршрутизационного решения.
2. Маршрутизаторы. Базовая настройка.
3. Статическая маршрутизация.
4. Суммаризация маршрутов.
5. Маршрутизация IGP.
6. Маршрутизация EGP.
После прохождения данного курса студенты будут обладать базовыми знаниями и умениями, необходимыми сетевому инженеру начального уровня для работы с маршрутизируемой сетью предприятия.",Шабалин Андрей Михайлович,IT
Мастерская экскурсий,https://www.utmn.ru/obrazovanie/iot/electives/1112569/,"Содержание курса

Раздел 1. Основы экскурсионной методики.

Лекционные занятия с обратной связью
Тема 1. Как стать экскурсоводом. Введение в экскурсоводческую практику.
Тема 2. Факторы формирования профессии экскурсовода.
Тема 3.Творчество и профессиональные регуляторы деятельности экскурсовода.
Тема 4. Модель имиджа экскурсовода.

Практические занятия.
Семинар 1. Основы экскурсоведения и экскурсионной методики
Семинар2. Образы и аттракторы в пространстве города: апробация практических подходов экскурсионной методики. (мастер класс за пределами аудитории)
Семинар 3. Храмовая архитектура: история, стиль, символы и функции: апробация практических подходов экскурсионной методики. (мастер-класс за пределами аудитории)
Семинар 4. Факторы формирования профессии экскурсовода. (тренинг).
Семинар 5. Творчество и профессиональные регуляторы деятельности экскурсовода. Развитие речевых и внеречевых коммуникаций.(тренинг)
Семинар 6. Модель имиджа экскурсовода (профессиональные пробы, тестирование, тренинг).

Раздел 2. Технология проектирования и техника проведения экскурсии.

Лекционные занятия с обратной связью
Тема 5. Этапы проектирование экскурсии.
Тема 6. Методические приемы показа и рассказа в экскурсии.

Практические занятия
Семинар 7. Этапы проектирования новой экскурсии, выбор формы авторского проекта (проектный семинар).
Семинар 8. Этапы проектирования новой экскурсии (проектный семинар за пределами аудитории)
Семинар 9. Этапы проектирования новой экскурсии (проектный семинар).
Семинар 10. Техника проведения экскурсии. (тренинг на маршруте экскурсии)
Семинар 11. Методические приемы показа и рассказа в экскурсии (тренинг на маршруте экскурсии)
Семинар 12. Итоговый семинар. Проведение авторской экскурсии на маршруте (за пределами аудитории).
Обучение на курсе в формате мастерской будет способствовать развитию креативных способностей и профессиональной мотивации студента к экскурсоводческой деятельности. В процессе обучения студент научится проектировать авторскую экскурсию; сформирует пакет технологической документации на авторскую экскурсию; освоит приемы речевых и внеречевых коммуникаций, технику проведения экскурсии на маршруте.",Балюк Наталья Алексеевна,"Психология, Педагогика, История, Коммуникативные практики, Туризм"
Мастерство публичных выступлений,https://www.utmn.ru/obrazovanie/iot/electives/1098103/,"Этот курс научит справляться с волнением, создавать тексты публичных выступлений разных форматов и жанров (от деловой конференции до инстаграм-видео), использовать ораторские приемы (от традиционных античных до новейших).
Задачи:
- изучение историей и теории вопроса;
- выработка способности к самонаблюдению и самоанализу в речетворческой деятельности;
- совершенствование коммуникативных навыков.",Куприянова Ася Ильинична,Soft skills
Математика для гуманитариев,https://www.utmn.ru/obrazovanie/iot/electives/1099582/,"В курсе изучаются основные понятия математики, необходимые для построения математических моделей в любой сфере человеческой деятельности. Просто вспомните о том, сколько сейчас пишут в СМИ об анализе больших данных и математическом моделировании.
Студенты приобретут следующие компетенции: 1) еще раз прокачают свои вычислительные навыки; 2) узнают о месте и значении математики в современном обществе; 3) приобретут готовность к применению математических методов в своей профессиональной деятельности.",Шармин Валентин Геннадьевич,Математика
Математические модели в биологии,https://www.utmn.ru/obrazovanie/iot/electives/1099709/,"Рассматриваются биологические задачи решаемые методами теории вероятностей, симплекс-методом и дифференциальными уравнениями.
В результате освоения дисциплины обучающийся научится строить математические модели из области своей профессиональной деятельности, а также а также познакомится с разделами математики необходимыми для решения поставленных задач",Баранникова Дарья Дмитриевна,Математика
Медиапроект: от идеи – к прототипу,https://www.utmn.ru/obrazovanie/iot/electives/1099623/,"Сначала мы придумаем и обсудим идеи проекта, изучим потенциальных пользователей. Потом проработаем его отдельные аспекты – контент, ии оформление, организацию, монетизацию, особенности платформ, на которых реализуем проект. Затем создадим прототипы и протестируем их. В процессе изучим основы как классических, так и новых подходов к проектированию и организации управления проектами (Дизайн-мышление, Agile и другие).
Умение создавать медиапроект и контент для него. Умение изучать аудиторию и подстраиваться к ней. Знание особенностей медиаплатформ. Методы проектирования и управления проектами.",Арбатская Елена Оттовна,"Экономика, Бизнес, Журналистика, Коммуникативные практики, Маркетинг, Медиа, Менеджмент"
Медиаэкология информационной среды,https://www.utmn.ru/obrazovanie/iot/electives/1099598/,"Понятия медиаэкологии и медиаграмотности; законы медиаграмотности; виды контента: научный и научно-популярный, PR, пропаганда, реклама, новости, мнение, сырая информация и пр.; верификация информации в медиа; информационно-психологическая безопасность; распространение слухов в сети; создание вирусных роликов и пр.
Курс необходим, чтобы быть продвинутым пользователем и создателем медиа, понимать природу и законы распространения и восприятия медиа. Чтобы вовремя перезагрузиться, усовершенствовать навыки верификации информации и умело отфильтровывать информационный шум. Развивает критическое мышление, оттачивает навыки анализа информации в медиа, разбивает социальные стереотипы.",Анна Анатольевна Андреева,Медиа
Медицинская антропология,https://www.utmn.ru/obrazovanie/iot/electives/1099730/,"Медицинские практики. Медицина и культура. Лекари и шаманы. Культура родовспоможения. Биомедицина. Традиционные медицинские практики. Биопиратство. Психическое здоровье.
После изучения курса студенты будут знать: - предмет, основные понятия, концепции и методы медицинской антропологии; - представления о болезни в разных обществах; - теорию тела (тело как объект медицинских интервенций); - характеристики типологически различных медицинских систем; - механизмы врачебных практик в различных медицинских системах; - специфику и возможности народной медицины и шаманизма как традиционных здоровьесберегательных технологий; - биомедицину как социокультурную систему; - практики регулирования рождаемости и системы деторождения в разных культурах; - влияние культуры на психическое здоровья индивида и общества; - антропологические аспекты неравенства в области здоровья. Уметь: - ориентироваться в предметных областях медицинской антропологии; - быть толерантными по отношению к инокультурным представлениям о здоровье и болезни, теле, гигиене, о способах диагностики лечения; - рефлексивно относиться к собственным медицинским представлениям; - проводить самостоятельное исследование в рамках предметной области электива. Владеть: - понятийным и методологическим аппаратом дисциплины; - навыками анализа медицинских представлений разного типа; - пониманием прикладного характера медицинской антропологии; - представлениями в области медицинской антропологии, которые обеспечивают оптимальное здоровье и выживание в рамках новейших технологий здоровьесбережения (прикладные знания).","Ермакова Елена Евгеньевна, Адаев Владимир Николаевич",Антропология
Международные валютно-кредитные и финансовые отношения,https://www.utmn.ru/obrazovanie/iot/electives/1099758/,"Тема 1. Мировые финансы и мировой финансовый рынок Тема 2. Валютные отношения и форма их организации Тема 3. Мировой валютный рынок Тема 4. Валютные операции Тема 5. Международные расчеты Тема 6. Международный кредит Тема 7. Международные валютно-кредитные организации
В результате освоения дисциплины обучающийся будет: Знать: экономические категории, закономерности развития, основные принципы и формы организации международных финансов и валютно-кредитных отношений; Уметь: осуществлять валютные операции и международные расчеты, оценивать состояние международных валютных, кредитных рынков, выявлять современное состояние и тенденции развития международных финансовых, валютных и кредитных отношений; Владеть: навыками проведения расчетов по валютным операциям, международных расчетов по импортно-экспортным операциям, управления валютными рисками, привлечения и размещения временно-свободных денежных средств на международном рынке капитала.",Бабурина Наталья Алексеевна,"Экономика, Финансы"
Международные конфликты в ХХI веке,https://www.utmn.ru/obrazovanie/iot/electives/1120259/,"Курс поможет студентам получить представление о разнообразных международных конфликтах и об их современной специфике.
Студенты получат представление о таком интереснейшем разделе философии, как философия войны, а также о многообразии различных теорий, связанных с анализом войны. Студенты получат практические навыки анализа современных международных конфликтов",Богомяков Владимир Геннадьевич,"Политика, Политология"
Межкультурная коммуникация в кейсах,https://www.utmn.ru/obrazovanie/iot/electives/1099679/,"Теория межличностной и межкультурной коммуникации, типологии культурных измерений, этноцентризм, культурный шок, культурные ценности, особенности ведения переговоров и решения конфликтов с зарубежными партнерами
Курс поможет критически осмысливать глобальные изменения, происходящие в мире, анализировать причины возникновения межкультурных разногласий в политике, экономике, спорте, бизнесе и других сферах жизни. Будут отрабатываться навыки конверсационного анализа (conversation analysis), контент анализа, критического дискурс анализа.","Лыкова Надежда Николаевна, Белякова Ирина Евгеньевна","Иностранный язык, Коммуникативные практики"
Мейкерство,https://www.utmn.ru/obrazovanie/iot/electives/1099595/,"Программа курса состоит из интерактивной лекционной онлайн-части и практических оффлайн-занятий.

Курс включает 3 модуля:

1. Векторная графика - создание 2Д-моделей и работа с лазерным оборудованием.

2. 3Д-моделирование - создание 3Д-моделей и печать на 3Д-принтерах.

3. Схемотехника и программирование Arduino - создание ""умных устройств"" с помощью программируемой электроники.

В течение прохождения модулей студенты разрабатывают собственные индивидуальные и групповые проекты. Подробная информация о курсе: https://ncmu-utmn.ru/courses
Результатом участия в курсе станет прохождение студентами в рамках групповой работы полного цикла работы над технологического проектом: от генерации идеи до изготовления прототипа и презентации проекта. Полученный проект может стать основой для дальнейшей работы обучающихся в направлении технологического предпринимательства.",Ермаков Александр Сергеевич,"Soft skills, IT, Коммуникативные практики"
Методика преподавания немецкого языка как второго иностранного,https://www.utmn.ru/obrazovanie/iot/electives/1099746/,"Знакомство с основными инновационными принципами и методами преподавания немецкого языка как второго иностранного, овладение способами повышения мотивации учащихся к изучению немецкого языка, анализ примерных уроков.
Студенты познакомятся с современными тенденциями в обучении второму иностранному языку в России и за рубежом. Смогут эффективно строить процесс обучения немецкому языку как второму иностранному; проводить рефлексию профессиональной деятельности. Овладеют стратегиями построения современного урока второго иностранного языка; навыками применения дидактики многоязычия при обучении немецкому языку как второму иностранному.",Альфия Наримановна Рахматуллина,Иностранный язык
Методика социологического исследования,https://www.utmn.ru/obrazovanie/iot/electives/1096600/,"Курс нацелен на знакомство студентов с процессом проведения социологических исследований. Он позволит им попробовать себя не только в роли респондента, но и в ролях заказчика исследования, интервьюера, социолога-аналитика, а также расширит их представления о методах современных социологических исследований.
На основе лекционного материала студенты в малых группах по интересам на семинарских занятиях осуществляют подготовку собственных мини-исследований, последовательно осуществляя разработку программу социологического исследования, получая навыки применения различных социологических методов.
Цель курса ""Методика социологического исследования"" — формирование у студентов несоциологических направлений представления об основных методах сбора, обработки и интерпретации социальной информации, используемых в современной социологии, о проведении эмпирического социологического исследования.
Основные задачи курса:
- освоение последовательности и содержания основных процедур социологического исследования;
- приобретение базовых знаний о методах сбора социологической информации;
- получение практических навыков проведения исследований;
- овладение организационными основами исследовательской деятельности.
Курс может быть полезен представителям многих профессий, работающих с людьми и нуждающихся в информации об их поведении или отношении к различным областям жизни в обществе: экономистам, юристам, государственным служащим, менеджерам, педагогам, психологам, журналистам, экологам и т.п.
Изучение курса поможет понять, как осуществляются на практике маркетинговые исследования, социальная экспертиза нормативных актов, исследования удовлетворенности населения деятельностью органов власти, организационной приверженности персонала и психологического климата в коллективе, качества образования, экологической культуры населения, а также его отношения к любым явлениям социальной жизни.",Батырева Мария Владимировна,"Аналитика, Социология"
Методы визуализации информации,https://www.utmn.ru/obrazovanie/iot/electives/1099674/,"Логика курса предполагает движение от общего к частному, от обобщенного к конкретному. В начале курса мы предлагаем задуматься и обсудить вопрос, определяющие философию мышления современного человека, закономерности восприятия, условия создания творческого продукта. Понимание проблематики вопроса позволяет осознанно осваивать конкретные техники и методы визуализации информации. Все занятия проходят в форме тренинга. Каждый участник получает максимальное количество обратной связи от преподавателя и участников группы.
В рамках курса вы приобретете знание теоретических основ психологии визуального восприятия; закономерности представления знания в виде визуальных образов, основы дизайна и построения художественной композиции. Освоение заданий курса позволит научиться интерпретировать, общаться и извлекать смысл из информации, представленной в виде изображения; разрабатывать средства презентации данных, отвечающие основным законам психологии восприятия, принципам дизайна и теории построения композиции. Вы сможете освоить навыки разработки презентаций и слайд-фильмов для решения задач визуализации результатов учебной и научно-исследовательской работы; навыки самопрезентации.","Брук Жанна Юрьевна, Федина Людмила Викторовна",Педагогика
Миграция: глобальный и региональный уровень,https://www.utmn.ru/obrazovanie/iot/electives/1099713/,"В курсе рассматриваются актуальные вопросы определения сущности миграции представителями разных научных направлений, изучаются дискурсивные практики по миграционной тематике, осмысливаются масштабы и динамика трансграничной миграции, ее влияние на стабильность обществ, анализируются конфликтные проявления миграции, а также поднимаются проблемы политического управления потоками людей и обеспечения прав мигрантов
Представленный курс формирует знания о характере миграционных проявлений на глобальном, международном, макрорегиональном и национальном уровнях. В процессе изучения материалов по дисциплине, индивидуального и группового разбора кейсов, участия в ролевых играх и дискуссиях, реализации методики SWOT-анализа приобретаются умения осуществлять сбор и анализ информации, предметом которой выступают миграционные процессы, аргументированно выражать собственную точку зрения по миграционным вопросам, а также вырабатываются навыки стратегического планирования. Вы научитесь находить баланс между этикой толерантности и культурой безопасности, вести проектную деятельность по оптимальному управлению миграционной ситуацией.",Пустошинская Ольга Сергеевна,"Международные отношения, Политология, Регионоведение"
Мир сибирского крестьянина,https://www.utmn.ru/obrazovanie/iot/electives/1098051/,"В этом курсе рассматривается феномен сибирского крестьянина, обладающего уникальным хозяйственным знанием, социальным опытом, историческими представлениями, культурным кодом, самостоятельностью, самобытностью. 
Сибирский крестьянин — это целый мир, который для нас остается во многом неизвестным и до конца непонятым. Прикоснуться к этому феномену позволяет большое разнообразие исторических источников, в которых лежит подсказка к многомерности понятия «сибирский крестьянин». 
Цель курса - провести историческое исследование феномена сибирского крестьянина, базирующееся на комплексе документальных свидетельств XVII-XX вв.
Задачи:
определить этапы и формы миграции крестьянского населения в Сибирь;
изучить социальный статус сибирского крестьянства;
раскрыть механизмы и практики взаимодействия сибирского крестьянства с представителями власти (как на государственном, так и местном уровнях);
изучить формы и методы протестного движения сибирского крестьянства;
изучить трудовые традиции сибирского крестьянства.
Студентам предоставляется возможность провести самостоятельное уникальное исследование и ответить на вопрос о том, а кого можно считать сибирским крестьянином и как этот образ сохранился в исторической памяти многих поколений.",Щербич Софья Николаевна,История
Мир таможни,https://www.utmn.ru/obrazovanie/iot/electives/1119143/,"Развитие внешнеторговой деятельности предусматрвиает взаимодействие участников ВЭД с таможенной службой. Данная дисциплина позволит обучающимся ответить на вопросы:

Зачем нужна таможня государству, бизнесу, обществу?
Когда товар - не товар, и что с этим делать?
Каковы этапы взаимодействия предпринимателя и таможни?
Основные проблемы при перемещении товаров и как их предотвратить?
Кто поможет предпринимателю при перемещении товара через таможенную границу?
Какая она - таможня будущего и что изменится во взаимодействии с участником ВЭД?
Предполагаются выездные занятия на таможенной пост ""Рощино"", проведение деловой игры ""Ты - участник ВЭД"", другие активные методы обучения.
Развитие критического мышления на основе анализа данных, оценки показателей, анализ тенденций. В ходе изучения дисциплины студент приобретет знания о:
- понятии ""таможенная служба"" и о том зачем она нужна государству, бизнесу и обществу;
- сущности товара в мировой торговле;
- этапах взаимодействия участника внешнеэкономической деятельности и таможенной службы при перемещении товара через таможенную границу;
- проблемах взаимодействия бизнес - таможня и пути решения.
Приобретет навыки:
- анализа данных и их критической оценки;
- определения роли таможенной службы для государства, общества, бизнеса;
- работы с нормативно-правовыми актами;
- определения порядка взаимодействия участника ВЭД с таможенной службой при перемещении товара через таможенную границу;
- формулирования проблем взаимодействия участников ВЭД с таможенной службой и разработка решения.",Игнатова Ирина Викторовна,"Аналитика, Soft skills, Экономика, Бизнес, Право, Коммуникативные практики, Международные отношения"
МИР ФИНАНСОВ,https://www.utmn.ru/obrazovanie/iot/electives/1099706/,"Тема 1. Особенности формирования финансов (государственных, корпоративных, личных) Тема 2. Налоги в жизнедеятельности человека и налогообложение бизнеса Тема 3. Основы страхования Тема 4. Финансы предприятий (управление корпоративными финансами на основе компьютерной игры бизнес-курс МАКСИМУМ) Тема 5. Виды кредитов и взаимоотношения с банками Тема 6. Рынок ценных бумаг. Биржи. Криптовалюты.
Студенты будут знать основные финансовые институты (Банк России, Агентство по страхованию вкладов, Пенсионный фонд России, коммерческий банк, страховая организация, брокер, биржа, Федеральную налоговую службу и др.). Научаться пользоваться основными финансовыми расчётными инструментами и калькуляторами, предотвращать возможное финансовое мошенничество; выбирать инструменты управления личными финансами для достижения поставленных финансовых целей, сравнивать их по критериям доходности и надежности; смогут обнаружить факт нарушения своих прав, определить эффективные способы их защиты правильно составить претензию или жалобу и т.п.",Огородникова Ирина Ивановна,"Экономика, Финансы"
"Миры Марксизма: между Европой и Азией, между наукой и идеологией",https://www.utmn.ru/obrazovanie/iot/electives/1099675/,"Мы будем разбирать вопросы формирования и работы современных идеологий (либерализма, консерватизма, социализма), социальных классов, способов производства и распределения благ, собирания и пересобирания обществ.
Аналитическое чтение сложных текстов, выстраивание аргумента, умение вести дебаты",Пискунов Михаил Олегович,"Социология, История, Антропология, Политология, Философия"
Мифологизация российской истории и ее научная критика,https://www.utmn.ru/obrazovanie/iot/electives/1099659/,"Предлагается изучение и обсуждение следующих основных проблем – Механизмы мифотворчества и его коммуникативное пространство. – Древняя Русь и имперская Россия: деструктивные мифы и реалии. – «Герои» и «злодеи» Великой российской революции – Сталинская индустриализация: имитация развития или российский вариант взрывной модернизации. – 1937-й в российской истории: что же произошло? – Деструктивная мифологизация истории Великой Отечественной войны 1941-1945 гг. – Постсоветская Россия: мифологические и научные версии. – Региональные мифы: от прошлого к современности.
В результате освоения дисциплины студент должен: – знать основные принципы и методы анализа исторической информации, позволяющие определить ее достоверность; – уметь использовать научные подходы для создания объективно-рационалистических исторических реконструкций; – владеть профессиональными и личностными ресурсами для ведения дискуссии по вопросам мифологизации и демифологизации истории России.",Кружинов Валерий Михайлович,"Педагогика, Социология, Психология, История, IT, Экономика, Литература, Право, Государственное и муниципальное управление, Журналистика, Иностранный язык, Коммуникативные практики, Математика, Медиа, Международные отношения, Менеджмент, Политология, Регионоведение, Туризм, Философия"
Мифы народов мира,https://www.utmn.ru/obrazovanie/iot/electives/1099729/,"Изучаются основные сюжеты, известные во всех мифологиях (о создании мира, о появлении человека, о взаимоотношениях с богами и духами природы), анализируем вместе, как могли возникнуть и что объясняют данные сюжеты.
Любознательность, сомнения, опыт интуиции, воображение",Борко Татьяна Иосифовна,Искусство
Многосерийный немецкий,https://www.utmn.ru/obrazovanie/iot/electives/1118871/,"Воздействуя на эмоции людей, фильмы дают наглядное представление о культурных и социальных ценностях, позволяя воспринимать информацию как зрительно, так и на слух. Фильмы имитируют языковую среду, ненавязчиво вводят страноведческие факты и явления, а также позволяют бесконфликтно сравнивать культуру и особенности быта родной страны и страны изучаемого языка.
Большинство отобранных фильмов являются обладателями многочисленных призов на кинофестивалях разного уровня, в т.ч. Оскара:
Luther
Goethe!
Carl & Bertha
Margarete Steiff
Der ganz große Traum
Heidi
Spielzeugland
NAPOLA
Sophie Scholl – Die letzten Tage
Das Wunder von Bern
Das schweigende Klassenzimmer
Der Baader Meinhof Komplex
Das Leben der Anderen
Almanya – Willkommen in Deutschland
Willkommen bei den Hartmanns
Familie Braun
Die Welle
Ballon
Good Bye, Lenin!
Schwarzfahrer
В рамках курса развиваются следующие области социокультурных знаний о немецкоязычной культуре в Германии: повседневная жизнь, уровень жизни (региональные, классовые, этнические особенности), межличностные отношения (отношения между полами, семейные отношения, отношения между представителями разных поколений, отношения между гражданами и официальными лицами, представителями правопорядка, отношения между представителями разных рас и сообществ), система ценностей, убеждений и отношений (безопасность, традиции и социальные изменения, история, общественные исторические личности, события, национальное самосознание).

Курс обеспечивает достижение целевых умений применительно к иноязычным художественным фильмам согласно «Общеевропейским компетенциям владения иностранным языком» (в зависимости от уровня владения немецким языком на входе):
- на уровне В1: способность понимать содержание фильмов, в которых сюжет поддерживается изображением и действием, а язык понятен и несложен;
- на уровне В2: способность понимать большинство фильмов, в которых говорят на литературном языке или используется знакомый обучающемуся вариант разговорного языка;
- на уровне С1: способность понимать фильмы, даже если в них используется преимущественно просторечный разговорный язык, а также множество идиоматических средств.

В рамках курса обеспечивается развитие и совершенствование коммуникативных навыков аудирования и говорения, а также социокультурной компетенции как способность увидеть и понять образ мира партнёра по коммуникации, используя социокультурные знания о конкретной лингвокультурной общности для реализации коммуникативного намерения.",Савина Ольга Юрьевна,"История, Культура, Немецкий, Иностранный язык, Коммуникативные практики"
